scenario,algorithm,artifact_path,artifact_role,route_mode,route_source,inference_threshold,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,median_execution_time,N_pairs,tp,fp,fn,tn,precision,recall,f1,runs,benchmark,family,family_base,variant,experiment_tag,channel_contract,preset,resolution,patch_size,depths,dims,hidden_dim,embedding_dim,epochs,batch_size,inference_batch_size,encoder_batch_size,learning_rate,loss,negative_ratio,hard_negative_mining,hard_negative_strategy,hard_negative_agent,hard_negative_manifest_path,hard_negative_manifest_id,false_positive_replay_rounds,false_positive_replay_top_k,false_positive_replay_weight,false_positive_replay_epochs,threshold_policy,threshold_precision_floor,optimizer,dropout,drop_path_rate,weight_decay,requested_device,resolved_device,mps_available,mps_fallback_reason,threshold,candidate_pairs,elapsed_seconds,tp_per_second,pickle_path,metadata_path
graph_SOR4_D2_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR4_D2_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.535714,0.071429,383.821907,2878.6643,0.005211,0.005211,28,1,2,11,14,0.333333,0.083333,0.133333,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D3_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.363636,0.176471,721.03595,1485.771049,0.016153,0.016153,66,9,37,5,15,0.195652,0.642857,0.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D3_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.787879,0.0,0.0,4249.964611,0.012235,0.012235,66,0,0,14,52,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D3_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR4_D3_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.787879,0.0,0.0,4552.501571,0.011422,0.011422,66,0,0,14,52,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D3_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR4_D3_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.287879,0.229508,1424.101092,1786.291305,0.010637,0.010637,66,14,47,0,5,0.229508,1.0,0.373333,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D3_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR4_D3_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.787879,0.0,0.0,4876.104742,0.010664,0.010664,66,0,0,14,52,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D3_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR4_D3_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.787879,0.0,0.0,4743.614912,0.010962,0.010962,66,0,0,14,52,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D4_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.491667,0.164384,633.214412,1893.926718,0.031152,0.031152,120,12,43,18,47,0.218182,0.4,0.282353,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D4_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.75,0.0,0.0,3991.942132,0.022545,0.022545,120,0,0,30,90,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D4_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR4_D4_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.75,0.0,0.0,4554.444743,0.019761,0.019761,120,0,0,30,90,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D4_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR4_D4_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.75,0.0,0.0,4915.620909,0.018309,0.018309,120,0,0,30,90,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D4_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR4_D4_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.75,0.0,0.0,4812.614311,0.018701,0.018701,120,0,0,30,90,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D4_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR4_D4_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.75,0.0,0.0,4923.711063,0.018279,0.018279,120,0,0,30,90,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D5_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.331579,0.164474,624.176873,1258.340576,0.050066,0.050066,190,25,114,13,38,0.179856,0.657895,0.282486,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D5_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.8,0.0,0.0,4187.118756,0.036302,0.036302,190,0,0,38,152,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D5_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR4_D5_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.8,0.0,0.0,4977.615793,0.030537,0.030537,190,0,0,38,152,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D5_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR4_D5_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.2,0.2,1300.144477,1300.144477,0.029228,0.029228,190,38,152,0,0,0.2,1.0,0.333333,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D5_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR4_D5_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.8,0.0,0.0,5031.387583,0.03021,0.03021,190,0,0,38,152,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D5_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR4_D5_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.8,0.0,0.0,5266.588563,0.028861,0.028861,190,0,0,38,152,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D1_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.333333,0.166667,432.839536,865.679071,0.005776,0.005776,15,2,8,2,3,0.2,0.5,0.285714,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D1_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.733333,0.0,0.0,2525.240351,0.004356,0.004356,15,0,0,4,11,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D1_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR8_D1_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.266667,0.266667,1268.540714,1268.540714,0.003153,0.003153,15,4,11,0,0,0.266667,1.0,0.421053,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D1_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR8_D1_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.266667,0.266667,1383.395177,1383.395177,0.002891,0.002891,15,4,11,0,0,0.266667,1.0,0.421053,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D1_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR8_D1_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.733333,0.0,0.0,3792.667292,0.0029,0.0029,15,0,0,4,11,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D1_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR8_D1_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.733333,0.0,0.0,3482.52855,0.003159,0.003159,15,0,0,4,11,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D2_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.424242,0.116279,304.744237,1111.85473,0.025183,0.025183,66,5,26,12,23,0.16129,0.294118,0.208333,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D2_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.742424,0.0,0.0,2718.84255,0.018022,0.018022,66,0,0,17,49,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D2_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR8_D2_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.742424,0.0,0.0,3753.800484,0.013053,0.013053,66,0,0,17,49,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D2_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR8_D2_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.530303,0.311111,1741.819756,2969.010948,0.011788,0.011788,66,14,28,3,21,0.333333,0.823529,0.474576,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D2_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR8_D2_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.742424,0.0,0.0,4284.496327,0.011437,0.011437,66,0,0,17,49,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D2_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR8_D2_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.742424,0.0,0.0,4204.918192,0.011653,0.011653,66,0,0,17,49,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D3_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.490196,0.170213,424.699317,1223.092395,0.06132,0.06132,153,16,60,18,59,0.210526,0.470588,0.290909,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D3_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.777778,0.0,0.0,2759.630918,0.043122,0.043122,153,0,0,34,119,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D3_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR8_D3_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.777778,0.0,0.0,4100.381827,0.029022,0.029022,153,0,0,34,119,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D3_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR8_D3_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.686275,0.323944,1884.085489,3991.434306,0.026306,0.026306,153,23,37,11,82,0.383333,0.676471,0.489362,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D3_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR8_D3_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.777778,0.0,0.0,4641.377982,0.025639,0.025639,153,0,0,34,119,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D3_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR8_D3_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.777778,0.0,0.0,4613.826323,0.025792,0.025792,153,0,0,34,119,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D4_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.434783,0.174603,462.985994,1152.890026,0.104086,0.104086,276,33,127,29,87,0.20625,0.532258,0.297297,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D4_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.775362,0.0,0.0,2869.492555,0.074578,0.074578,276,0,0,62,214,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D4_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR8_D4_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.775362,0.0,0.0,4284.952677,0.049942,0.049942,276,0,0,62,214,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D4_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR8_D4_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.224638,0.224638,1433.406567,1433.406567,0.043254,0.043254,276,62,214,0,0,0.224638,1.0,0.366864,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D4_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR8_D4_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.775362,0.0,0.0,4795.777905,0.044623,0.044623,276,0,0,62,214,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D4_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR8_D4_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.775362,0.0,0.0,4873.33219,0.043912,0.043912,276,0,0,62,214,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D5_seed42,VF2,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.51954,0.196154,531.157159,1406.842221,0.160643,0.160643,435,51,167,42,175,0.233945,0.548387,0.327974,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D5_seed42,Node Match,,deterministic_baseline,not_applicable,deterministic_algorithm,0.5,0.786207,0.0,0.0,2872.725461,0.119051,0.119051,435,0,0,93,342,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D5_seed42,GNN TPC-DS v1 cluster,/Users/cayofel/Documents/GitHub/isomera_v2/main/core/algorithms/pickle/gin_gnn/modelos_gnn_separados/graph_SOR8_D5_seed42.pkl,baseline_tpcds_pickle,scenario_specific,TPC-DS v1 pickle map,0.5,0.786207,0.0,0.0,4303.885338,0.079463,0.079463,435,0,0,93,342,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D5_seed42,GNN GenAI v2 Weighted BCE,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/weighted_bce/GNN_tpcds_genai_spec_v2_weighted_bce_graph_SOR8_D5_seed42.pkl,genai_spec_v2_weighted_bce,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.213793,0.213793,1257.609314,1257.609314,0.07395,0.07395,435,93,342,0,0,0.213793,1.0,0.352273,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D5_seed42,GNN GenAI v2 Focal Loss,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/focal_loss/GNN_tpcds_genai_spec_v2_focal_loss_graph_SOR8_D5_seed42.pkl,genai_spec_v2_focal_loss,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.786207,0.0,0.0,4660.571244,0.073382,0.073382,435,0,0,93,342,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR8_D5_seed42,GNN GenAI v2 Hard Negatives,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/hard_negatives/GNN_tpcds_genai_spec_v2_hard_negatives_graph_SOR8_D5_seed42.pkl,genai_spec_v2_hard_negatives,scenario_specific,TPC-DS GenAI Spec v2 explicit routing,0.5,0.786207,0.0,0.0,4817.929188,0.070985,0.070985,435,0,0,93,342,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D1_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR2_D1_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.55,1.0,1.0,13498.370781,13498.370781,7.4e-05,7.4e-05,1,1,0,0,0,1.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D2_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR2_D2_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.775,0.666667,0.5,7431.113715,9908.15162,0.000404,0.000404,6,2,2,0,2,0.5,1.0,0.666667,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D3_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR2_D3_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.9,0.733333,0.428571,6546.406765,11201.629354,0.000982,0.000982,15,3,1,3,8,0.75,0.5,0.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D4_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR2_D4_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.9,0.857143,0.666667,10678.999583,13730.142321,0.001748,0.001748,28,8,4,0,16,0.666667,1.0,0.8,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR2_D5_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR2_D5_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.9,0.911111,0.714286,10913.611849,13920.918225,0.002945,0.002945,45,10,1,3,31,0.909091,0.769231,0.833333,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D1_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR4_D1_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.775,1.0,1.0,13361.169112,13361.169112,0.000449,0.000449,6,3,0,0,3,1.0,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_SOR4_D2_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR4_D2_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.525,0.428571,0.428571,4214.839509,4214.839509,0.002847,0.002847,28,12,16,0,0,0.428571,1.0,0.6,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
